timestamp,action_type,location_name,target_id,nearest_obs,status
"2025-12-20T07:09:16.654Z","VIEW_WEATHER","(35.5438405, 129.4274942)","","부산","SUCCESS"
"2025-12-20T07:09:16.684Z","VIEW_WEATHER","(35.5438405, 129.4274942)","","부산","SUCCESS"
"2025-12-20T07:09:22.521Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T07:09:22.839Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T07:10:01.830Z","VIEW_WEATHER","(35.5438405, 129.4274942)","","부산","SUCCESS"
"2025-12-20T07:10:01.852Z","VIEW_WEATHER","(35.5438405, 129.4274942)","","부산","SUCCESS"
"2025-12-20T07:10:15.564Z","VIEW_WEATHER","(36.784094535427634, 126.36474609375001)","","안흥","SUCCESS"
"2025-12-20T07:10:21.527Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T07:10:21.853Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T22:17:03.494Z","VIEW_WEATHER","(35.5438157, 129.4275091)","","부산","SUCCESS"
"2025-12-20T22:17:03.558Z","VIEW_WEATHER","(35.5438157, 129.4275091)","","부산","SUCCESS"
"2025-12-20T22:17:09.349Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T22:17:09.665Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T22:26:31.046Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T22:26:31.376Z","일본파고","2025-12-20","","","TRUE"
"2025-12-20T22:27:36.640Z","포인트공유","포인트1","p1","포인트1","TRUE"
"2025-12-20T22:27:38.289Z","포인트공유","e2e-test-1766135920155","p1766135924315","e2e-test-1766135920155","TRUE"
"2025-12-20T22:27:41.611Z","포인트공유","포인트2","p2","포인트2","TRUE"
"2025-12-20T22:27:47.234Z","포인트공유","포인트1","p1","포인트1","TRUE"
"2025-12-20T22:27:47.753Z","포인트공유","e2e-test-1766135920155","p1766135924315","e2e-test-1766135920155","TRUE"
